period,region,con,arv_count
2013-05,Asia,Other Countries in Southeast Asia,4239
2013-05,Asia,China,225801
2013-05,Asia,Taiwan,22964
2013-05,Asia,Japan,60044
2013-05,Asia,South Korea,35663
2013-05,Asia,Other Countries in North Asia,639
2013-05,Asia,Bangladesh,9547
2013-05,Asia,India,127278
2013-05,Asia,Nepal,1199
2013-05,Asia,Pakistan,1951
2013-05,Asia,Sri Lanka,7619
2013-05,Asia,Other Countries in South Asia,679
2013-05,Asia,Iran,634
2013-05,Asia,Israel,1072
2013-05,Asia,Kuwait,244
2013-05,Asia,Saudi Arabia,635
2013-05,Asia,United Arab Emirates,911
2013-05,Asia,Other Countries in West Asia,1109
2013-05,Europe,Austria,1857
2013-05,Europe,Belgium &  Luxembourg,1996
2013-05,Europe,Denmark,2230
2013-05,Europe,Finland,1734
2013-05,Europe,France,16102
2013-05,Europe,Germany,18022
2013-05,Europe,Greece,641
2013-05,Europe,Italy,5443
2013-05,Europe,Netherlands,7375
2013-05,Europe,Norway,2037
2013-05,Europe,Poland,1986
2013-05,Europe,Rep of Ireland,2297
2013-05,Europe,Russian Federation (CIS),5811
2013-05,Europe,Spain,2521
2013-05,Europe,Sweden,2730
2013-05,Europe,Switzerland,5361
2013-05,Europe,Turkey,1191
2013-05,Europe,UK,38618
2013-05,Europe,Other Countries in Eastern Europe,5331
2013-05,Europe,Other Countries in Western Europe,1353
2013-05,Oceania,Australia,77804
2013-05,Oceania,New Zealand,11405
2013-05,Oceania,Other Countries in Oceania,877
2013-05,Africa,Egypt,303
2013-05,Africa,Mauritius,513
2013-05,Africa,South Africa (Rep of),2683
2013-05,Africa,Other Countries in Africa,1691
2013-05,Not Stated,Not Stated,265
2013-06,Americas,Canada,9093
2013-06,Americas,USA,48299
2013-06,Americas,Other Countries in Americas,5249
2013-06,Asia,Brunei Darussalam,6814
2013-06,Asia,Indonesia,297858
2013-06,Asia,Malaysia,88061
2013-06,Asia,Myanmar,7846
2013-06,Asia,Philippines,59055
2013-06,Asia,Thailand,33435
2013-06,Asia,Vietnam,41781
2013-06,Asia,Other Countries in Southeast Asia,3853
2013-06,Asia,China,199048
2013-06,Asia,Taiwan,30320
2013-06,Asia,Japan,62607
2013-06,Asia,South Korea,38400
2013-06,Asia,Other Countries in North Asia,1300
2013-06,Asia,Bangladesh,10381
2013-06,Asia,India,106039
2013-06,Asia,Nepal,1354
2013-06,Asia,Pakistan,3067
2013-06,Asia,Sri Lanka,6710
2013-06,Asia,Other Countries in South Asia,853
2013-06,Asia,Iran,881
2013-06,Asia,Israel,1252
2013-06,Asia,Kuwait,567
2013-06,Asia,Saudi Arabia,2346
2013-06,Asia,United Arab Emirates,1529
2013-06,Asia,Other Countries in West Asia,1922
2013-06,Europe,Austria,1456
2013-06,Europe,Belgium &  Luxembourg,1956
2013-06,Europe,Denmark,2333
2013-06,Europe,Finland,1820
2013-06,Europe,France,12220
2013-06,Europe,Germany,15592
2013-06,Europe,Greece,681
2013-06,Europe,Italy,5145
2013-06,Europe,Netherlands,6914
2013-06,Europe,Norway,2521
2013-06,Europe,Poland,1844
2013-06,Europe,Rep of Ireland,2334
2013-06,Europe,Russian Federation (CIS),4526
2013-06,Europe,Spain,2613
2013-06,Europe,Sweden,2612
2013-06,Europe,Switzerland,4563
2013-06,Europe,Turkey,1330
2013-06,Europe,UK,39595
2013-06,Europe,Other Countries in Eastern Europe,4754
2013-06,Europe,Other Countries in Western Europe,1494
2013-06,Oceania,Australia,83533
2013-06,Oceania,New Zealand,11949
2013-06,Oceania,Other Countries in Oceania,953
2013-06,Africa,Egypt,515
2013-06,Africa,Mauritius,643
2013-06,Africa,South Africa (Rep of),3023
2013-06,Africa,Other Countries in Africa,1855
2013-06,Not Stated,Not Stated,256
2013-07,Americas,Canada,10897
2013-07,Americas,USA,47788
2013-07,Americas,Other Countries in Americas,5504
2013-07,Asia,Brunei Darussalam,4416
2013-07,Asia,Indonesia,263285
2013-07,Asia,Malaysia,74069
2013-07,Asia,Myanmar,8562
2013-07,Asia,Philippines,53339
2013-07,Asia,Thailand,38813
2013-07,Asia,Vietnam,47248
2013-07,Asia,Other Countries in Southeast Asia,4370
2013-07,Asia,China,302549
2013-07,Asia,Taiwan,48239
2013-07,Asia,Japan,74716
2013-07,Asia,South Korea,44234
2013-07,Asia,Other Countries in North Asia,1147
2013-07,Asia,Bangladesh,11381
2013-07,Asia,India,81926
2013-07,Asia,Nepal,1381
2013-07,Asia,Pakistan,1759
2013-07,Asia,Sri Lanka,7766
2013-07,Asia,Other Countries in South Asia,469
2013-07,Asia,Iran,798
2013-07,Asia,Israel,1268
2013-07,Asia,Kuwait,224
2013-07,Asia,Saudi Arabia,587
2013-07,Asia,United Arab Emirates,788
2013-07,Asia,Other Countries in West Asia,1010
2013-07,Europe,Austria,2528
2013-07,Europe,Belgium &  Luxembourg,3167
2013-07,Europe,Denmark,4164
2013-07,Europe,Finland,1434
2013-07,Europe,France,18507
2013-07,Europe,Germany,20439
2013-07,Europe,Greece,715
2013-07,Europe,Italy,6350
2013-07,Europe,Netherlands,11197
2013-07,Europe,Norway,3517
2013-07,Europe,Poland,1757
2013-07,Europe,Rep of Ireland,2770
2013-07,Europe,Russian Federation (CIS),5084
2013-07,Europe,Spain,4260
2013-07,Europe,Sweden,3089
2013-07,Europe,Switzerland,8638
2013-07,Europe,Turkey,1353
2013-07,Europe,UK,47581
2013-07,Europe,Other Countries in Eastern Europe,5497
2013-07,Europe,Other Countries in Western Europe,1820
2013-07,Oceania,Australia,104365
2013-07,Oceania,New Zealand,16221
2013-07,Oceania,Other Countries in Oceania,674
2013-07,Africa,Egypt,239
2013-07,Africa,Mauritius,710
2013-07,Africa,South Africa (Rep of),2967
2013-07,Africa,Other Countries in Africa,1826
2013-07,Not Stated,Not Stated,255
2013-08,Americas,Canada,10151
2013-08,Americas,USA,42017
2013-08,Americas,Other Countries in Americas,4819
2013-08,Asia,Brunei Darussalam,4700
2013-08,Asia,Indonesia,332310
2013-08,Asia,Malaysia,91021
2013-08,Asia,Myanmar,7185
2013-08,Asia,Philippines,56312
2013-08,Asia,Thailand,33699
2013-08,Asia,Vietnam,34457
2013-08,Asia,Other Countries in Southeast Asia,3828
2013-08,Asia,China,292805
2013-08,Asia,Taiwan,41534
2013-08,Asia,Japan,97297
2013-08,Asia,South Korea,48451
2013-08,Asia,Other Countries in North Asia,675
